talent_current_position,talent_employment_current_position_2,talent_employment_position_2,talent_employment__position_3
Product Manager Avera AI,,Research Manager Market Insights,Insights Manager
Business Applications Specialist – Retail Consumer Goods & Manufacturing,,Product Marketing Manager - Marketing Technologist,Digital Marketing Manager
Sr. Product Manager Private Brands - NA Hardlines,,Strategic Sourcing / Sourcing for New Product Development,Senior Buyer
Product Marketing Manager II Global Ads,,Digital Marketing Manager,Associate Marketing Manager Acquisition
Sr.Product Manager- Martech,,Senior Product Manager,Product Manager
Product Marketing Manager,,Product Marketing Manager Global Demand Center Office 365 Business Group,Summer Intern
Senior Manager Product Management,,Senior Product Manager,Product Manager
Senior Product Manager,,Vendor Manager,Product Manager
Head Of Operations,Ad Manager Product Expert,Technical Account Management - Associate III,Junior Analyst
Product Marketing Manager: Google Brand Studio,,General Manager (President),President
Senior Product Manager,,Senior Product Manager,Product Manager
Product Growth Manager,,Advertising Manager,Product Manager
Senior Product Marketing Manager Rewards & Incentives,,Product Marketing Manager (GTM) Windows,Senior Product Marketing Manager Microsoft Edge
Senior Product Manager,,Manager Product Policy & Compliance,Coordinator
Senior Mobile Product Marketing Manager,,Mobile Product Marketing Manager,Growth Marketing Strategist Paid Display & Social
Sr. Product Manager,,Sr. Product Marketing Manager - Business Payment Products,Product Marketing Manager - Amazon Devices 
Retail Lead (Rotation) Europe Middle East and Africa Ads Marketing,,Product Marketing Manager Retail Marketing Lead Northern Europe,Associate Product Marketing Manager
,,,
Product Marketing Manager | SMB,Product Marketing Manager | LCS-EMEA Go-To-Market | 20% Role,Google Display & Audience Specialist Large Customer Soultions,Senior Display Specialist & UKI-Dublin Cross-Channel Audience Lead
Director of SEO,,Senior Manager SEO Product & Marketing,Senior SEO Strategist
,,Brand Management Team Leader,
Product Management @ Snapchat | Ex-Amazon,,Product Manager,Senior Product Manager
Marketing Product Partnerships Manager,,Associate Marketing Manager,MBA Research Consultant
Product Marketing Manager @ YouTube Emerging Marketing,,Product Marketing Manager Ads Partners Marketing,Associate Product Marketing Manager (APMM) Ads Partners Marketing
Ad Tech Account Executive,,Product Marketing Ad technology,Associate Director of Product Marketing
Counsel S&O - Manager Business Systems & Product Operations,,Quidsi Advertising(Amazon Subsidiary) - Account Manager,Sr. Business Development Product and Analytics Manager
Group Product Manager - Grocery Partners,,Senior Product Manager (Tech) Alexa Shopping,Senior Product Manager (Tech) Alexa Shopping
Product Marketing Manager Microsoft Advertising,,Strategic Account Coordinator Microsoft Advertising,Senior Strategic Account Manager Microsoft Advertising
Member,Founder + CEO,Curator and Content wrangler,Curator and UGC specialist Sprint
CEO / Founder,,Technology Associate Intern,Co-CEO / Founder
Founder &  CEO,,President & CEO,Senior Solutions Architect
Human Resources Assistant,,Human Resources Executive,Human Resources Recruiter
Talent Partner,Outbound expert,Talent Engagement Associate,Outbound Expert
Head - People & Culture,,Human Resources Lead(Bangalore),People Operations
,,,
Operating Partner,COO,President & COO,Board Member
VP HR Operations,,Office Manager / HR Director,Operations and Payroll Manager
Regional Vice President - Central,,Enterprise Sales Director,Sales Director
CEO,Board Member,Marketing Product Management,Vice President Corporate Segment
HR Recruitment Consultant,Independent HR Consultant,Lead Seller,
Talent Acquisition Consultant,Recruitment Consultant,Technical Recruiter,
Digital Marketing Specialist,,Digital Marketing Head & IT Project Manager,Digital Strategist
Account Manager - End User Support Services,Director of Abundant Kids Nursery,Business Manager,
manufacturing surpervisor,Oracle Database Administrator,26ft box truck owner,
System Engineer,,PMO Requirements Analyst,NCOIC ARMS Application Team
Security Operations Center Watch Officer,Breath Alcohol Technician,Customer Service Administrator,Customer Service Support
Chief Technology Officer,,System Integration Specialist,Full Stack Developer
Oracle Database Administrator,Financial Management Technician,Oracle Database Administrator,Oracle Database Administrator
Vice President,,Application Support Management,System Management Analyst
Test and Release Manager,Oracle DBA,,
Sr. Technical Program Manager,Graduate Research Fellow,Sr. Project Manager Consultant,Program Management Consultant
Founder,Operations Manager,Team Lead,Technical Recruiter
Financial Planning Analysis and Reporting Manager,,Senior Accountant,Senior Project Accountant
Management,,Account Manager,Sales Representative
Business Development Manager at Techligent Systems Inc,Business Development Manager @ techligent.com, IT SalesRecruiter,Senior Business Development Manager
Technical Recruiter,Manager,,
Senior Manager,,Account manager,
Manager QA and Release,,Software Engineer,Software Development Intern
Accounting Manager,,Accounting Executive,
International purchasing and logistic manger,,Customer Service Account Manager,Customer Care Specialist II (Work study)
Director of Strategic Programs,,Regional Success Manager,Software Engineer (Team Lead)
Senior Manager,,Account Manager,Team Lead Recruitment
eQMS Manager,,Quality Document & Compliance Specialist,Sr. Quality Specialist
Client Operations Program Manager,Senior Support Engineer,Support Engineer,Test and Turn up Technician
Senior Technical Recruiter / Client Manager,,,
Financial Planning and Analysis Manager,,Head of FP&A,Sr Financial Analyst
Regional Vice President,,Regional Sales Manager,Sr. Business Development Manager
Senior Tax Manager,Principal Consultant,,
Sr. Recruitment Manager,,Technical Recruiter – Team Lead,
Account Manager & Technical Lead,,Account Manager & Technical Analyst,Functional Lead
Talent manager at namah technologies,,,
Plant Supervisor,,Systems Analyst (Via Advantis Inc),QA Tester (Via TOP US)
Official Member,Co-Founder,Senior Producer,Vice President Marketing
Plant Controller,,Operations Plant Controller,Senior Accountant
Team Leader- Senior Recruiter,Senior Recruiting Manager,Staffing Associate | Technology,Principal
Director of Applied Technology,Applied Technology Manager,QA Analyst,Corporate Projects
Sr Technical Recruiter/Resource Manager,,Lead Technical Recruiter,Sr Technical Recruiter
IT Services manager,,IT services Technician II,IT Services Technical Lead
Founder and Creator of LottoGraphs,Information Technology Infrastructure Operations Manager,Sr. IBM - Microsoft Computer Systems Engineering Consultant,Sr. Computer Systems  Engineer
SAP Basis Technical Service Manager ,,Senior SAP Basis Consultant,Senior SAP Consultant
Sr. Manager- IT Recruitments,Manager-IT Recruitment s ,Assistant Manager,Team Lead - IT Recruitments
Team Manager - US IT Staffing  - sunil@nemoitsolutions 469-310-3369,,Senior Business Development Manager,Business Development Manager
Delivery Manager - Talent Acquisition (HCL Technologies),,Lead Talent Acquisition Specialist,Associate Manager Delivery - Talent Acquisition (HCL Technologies)
Quality Assurance Manager,Head Of Marketing,Business Analyst,Practice Manager
Senior Performance Analytics Specialist - CX Analytics (McDonald s Corp),,Consultant,Technical Business Analyst - PMO
Technical Program Manager,,Technical Lead,
Senior SAP Resource Manager ,,Sr. SAP Resource Manager,Senior SAP Team Lead
Lead Application Developer/Team Manager,,Application Developer,IOS and UI developer
IT Applications Manager,,IT Consultant,
Head Of Operations,,Technical Recruiter,Technical Recruiter
Senior BDM,,Sr Oracle DBA,Sr Oracle DBA
Technology Manager,,Database Developer,Senior Database Developer
,,,
Sr. Business Development Manager,Sr. Business Development Manager,SR. BUSINESS DEVELOPMENT EXECUTIVE/VICE LEAD,Sr Business Development Executive
Senior Manager - Sales,,Senior Account Manager-Recruitment,Account Manager/Delivery Manager-Recruitment
Software Engineering Manager,,Sr  Software Engineer,Software Engineer
Recruiter/Staffing Manager,Senior Manager Talent Acquisition,,
Manager Data Management and Reporting,,Software Analyst/Developer,Senior Software Developer
Software Engineer,,Principal Financial Software Developer,Associate Application Developer
Senior Recruiting Associate,,Technical Recruiter,Sr. Global TA Outreach Partner/Technical Sourcing
Senior Manager Talent Acquisition,,Talent Acquisition Specialist,
Sales and Analytics Manager,,Sales Development Representative,Sales Solutions Advisor
Sales Manager/BDM ,,Resource Manager,Technical Recruiter
Manager Infrastructure Services and IT Manager,Sr Consultant,Manager Database Applications,Team Lead SQL DBA Team IBM @ Hess
Manager,Manager,Assistant Manager,Senior Technical Consultant
Senior Manager Data & Analytics,,Manager Business Intelligence,Senior Consultant Business Intelligence (Data Engineering/Visualization)
QA Manager,,Sr.QA Engineer,Senior Quality Assurance Engineer
Director Talent Acquisition,Business Development Manager/Founder,Senior Talent Acquisition Specialist (Remote),
Business Development/Recruiting Manager IT Division,,,
Sr. Manager- Sales & Operations,,Account Manager,Technical Recruiter
Manager HR & Operations,,IT Recruiter,Senior Human Resources Specialist
Sr. Technical Recruitment Manager,,Sr. Recruitment Manager,Team Lead/ Sr. Technical Recruiter
IT Bench Sales Hiring Manger  /  Talent Acquisition Specialist,,Sr Bench Sales Team Lead,Sr Bench Sales Recruiter
Sr.  Business Development Manager,Lead Account Manager,,
Senior Manager,Senior Consultant,Sr Cybersecurity Analyst,Principal Security Analyst
,,,
Talent Acquisition Manager (SAP),,Resource Manager/SAP Recruiter (US Staffing),Team Lead/IT/SAP Recruiter (US Staffing)
Business Development Manager (Strategy Consulting),,IT Recruiter,Business Development Executive
Senior Business Manager ( IT Leadership hiring | Sales) USA & Canada Region,,Leadership Hiring (Life Sciences BFSTTL Retail and CPG),Manager ( Staffing & Recruitment ) | USA 
Progressive IT Service Delivery Manager,,Sr.Business Development Executive,
Manager,,IT Sales Manager,Sales Team Lead
Managing Consultant,,Associate Consultant,Junior Analyst & Project Manager
Global Service Delivery Manager - Direct Hiring Division,,Global Recruitment Team Lead - Technology Acquisition Specialist - Direct Hiring Division,IT & Financial - Technology Acquisition Specialist/Technical Recruiter
Co-Founder Partner Cybersecurity Practice Lead - Global Head of Talent Acquisition,,Technology Team Lead,Senior Director Vaco Cyber (Co-Founder)
Account Delivery Manager,,Technical Recruiter,Team Lead - Recruitment
Sr. Resource Manager,,Resource Coordinator,Resource Coordinator
Chief Technology Officer,Engineering Manager,Service Reliability Engineer,Database Reliability Engineer
Manager Information Security,,Manager Database Engineering,Manager Information Security
Senior Team Lead,,,
Oracle Database Administrator Team Manager,,Oracle Database Administrator Manager,
Cloud Infrastructure Architect,Cloud Engineer,Cloud DevOps Engineering Manager,Founder
Manager,Team Lead,,
Chief Operating Officer,Chief Financial Officer,Member,Chief Operating Officer
,,CEO,Director
Talent Acquisition Partner,,Technical Recruiter,Social Service Program Director 
Senior Talent Acquisition Partner,,Talent Acquisition Partner,Technical Recruiter
Head of Talent Acquisition & Onboarding,President / Founder,Director Talent Acquisition & OnBoarding,Head of Talent Acquisition
CEO,Board Member,VP Marketing & Product,Venture Partner
TBA,SVP Product,VP Products & Advisor,Executive in Residence
Vice President People ,,Sr. Director Human Resources,Director Human Resources
Recruiting/Onboarding,,Human Resources Consultant,Human Resources Consultant
Senior Talent Advisor  ,Senior Talent Advisor  ,Vice President Talent Acquisition,VP Senior Recruiter
VP Clinical Recruiting,,Talent Acquisition Leader,Sr. Recruiter
,,,
Head of HR,Partner,Project Coordinator,Head Of Operations and HR
Chief Operating Officer and General Counsel,Board Member Vice Chair,Partner,Partner
Resource Manager,,Server,Project Assistant
Sr. Recruiter,,Resource Manager,Office Intern
Executive Creative Director / Founder,,Head of Content,Executive Vice President
Human Resources Generalist,,HR Coordinator,Fulltime Visual Sales Leader
Human Resources Recruiting Coordinator,,Human Resources Recruiting Specialist,Office Automation Administrator
Pro Member,Sr. Product Marketing Manager,Product Manager - Pricing & Commercialization (Acquired by Apttus),Integration Lead and Product Manager (Interim)
Director Recruiting,,Sr. Contract Recruiter,Sr. Recruiter (Consultant)
CEO & Founder,,Member of the Board of Advisors,Chief Revenue Officer
Chief Business and People Officer,PeopleTech Partners Advisor,Chief Business Operations & People Officer,Chief People Officer
,,Secondee,Vacation Clerk & Paralegal
,,Recruitment & Learning & Development Consultant,
Talent Acquisition Partner,Deputy Director Organizer Volunteer and active Member of the Speaker Team,Cause Marketing Specialst,Talent Acquisition Specialist 
Director of Talent,,Senior Talent Acquisition Specialist,Senior Technical Recruiter
Talent Acquisition Manager,,Director of Talent,Technical Recruiter
Sr Director HR,Founder & Director,Director HR,HR Leader
Head of Talent Acquisition,,Head of People & Talent,Talent Acquisition Manager - Technology
,,Interim Tech Recruiter a.i (via LevelUp),Interim Recruiter a.i (via LevelUp)
Founder CEO,HR Lead,Talent Specialist,Recruiter (project-based)
Head of People,Associate,CEO,Head of HR
Senior Human Resources Business Partner,,Director Human Resources & Talent,Human Resources Business Partner
Sr. Talent Acquisition / Technical Recruiter,,Fundraising Head,HR Officer
Founder / Strategist / Problem-Solver,Vice President Of Business Development,Sr. Account Executive SEA,Pre-Sales Support Specialist Asia-Pacific
Director - IT Direct Hire Staffing,,Sr. Technical Recruiter ,Manager Technical Recruiter - Business Development
Assistant Manager - Talent Acquisition & Employer Branding Specialist,Head Digital Education Consultant & Partnership cum Generalist Human Resources,Outbound Sales Specialist,Assistant Manager Recruitment
,,,
Delivery Head (Recruitment and Business Development),Executive Director (Recruitment Business Development & Operations) ,Recruitment Manager,Team Lead
Partner & Head of People n Culture,,Head Of Human Resources Business Partner & Talent Acquisition,Global Talent Attraction Manager  at Nidec Global Applliance
Vice President Talent Management,,Talent Advisor - HR Business Partner,Vice President Human Resources 
Talent Director,,Director of Talent & Advisor Strategy,Talent Acquisition Manager
Human Resources Director,Human Resources Director,Regional Human Resources Director,Sr. Human Resources Consultant
Founder Director,Academic Advisory Board Member,Vice President  Human Resources,Head - Human Resources & Delivery Manager
Director Global Talent Acquisition & Rewards,Associate Professor,Director Global Talent Acquisition,Head Of Global Talent Acquisition
Head Of Recruitment and Talent Management Japan,,Head Of Recruitment | Japan,Consultant - IT Industry
Vice-President of Human Resources,,Director of Human Resources,District Human Resources Manager
Sr. Creative Recruiter,Senior Account Manager - Recruiter,Recruiter,Client Director
Director of Talent Management,,Recruiter,Continuous Improvement Change Agent
Vice President People and Culture,Vice President People and Culture,Vice President/General Manager,Vice President Client Services and Talent Management
Senior HR Compliance Analyst,,Affirmative Action Business Partner,Human Resources Director
Director Of Talent,,Senior People Operations Specialist- Americas,Global Talent Operations Specialist
Coordenadora de Gente e Gestão,Gerente Sênior de Gente e Cultura,Head of People Management & Culture,Gerente de Gente e Gestão
Director of Talent Acquisition at Rock Content,,Talent Acquisition Manager,Head Of Human Resources
Board Member,Vice President Human Resources,Human Resources,Mgr HR Shared Services
LATAM & Portugal Recruitment Leader,Founder,Latin America Head for Talent Acquisition,Talent Acquisition Director
Chief Human Resources Officer & Executive Vice President,,Vice-President Talent Management Acquisition Development & General Affairs,Senior Vice-President Talent Management Acquisition Development & General Affairs
Senior Sourcer,,Director of Talent Acquisition ,Corporate Recruiter
,,HR Generalist,Senior Business Partner
Business Development - Midwest Retail Recruiter ,Director of Talent Management ,Senior Talent Acquisition Consultant,Senior Talent Acquisition Specialist
Technical Director & Talent Management,Executive Search | Headhunter,Business Manager Guadalajara,Senior Advisor
Talent Acquisition Lead US Health,,Head of Talent Acquisition,Director Talent Acquisition
Talent,Talent,Recruiting Lead,Senior Manager Talent Acquisition
Talent Acquisition Director,,Tech Recruitment Manager,R&D Recruitment Lead
Head of Talent,,Global Talent Acquisition Lead,Talent Acquisition Partner
VP People and Talent,,Senior Director People & Talent,Employee Experience Director
Associate Director,HR Manager,Head of Executive Search (Talent Acquisition)- C-level  Directors  Board Members,HR & OD Associate Director
Director - Talent Delivery Center - India,,Regional Project Leader,TDC Director
Interim Head of People ,,Strategic Initiatives Lead,Director of Strategic Initiatives 
Talent Acquisition Lead,,Talent Operations Manager (Advisor),Talent Attraction Leader
Recruiter,,Recruiter,Senior Talent Acquisition Partner/Account Lead
,,Assistant Buyer: Music and Tech,Associate Buyer: Music and Tech
External Consultant,External Consultant,COO and Co-Founder ,Consultant
Co-Founder,Co-Founder,Vice President People & Talent (via KULA),Advisor
Vice President of People,,Talent Acquisition Manager,Sr Director of People & Development (Head of HR)
Senior HR Business Partner ,,Head of People & Talent,People & Culture Manager
VP of People,CPOHQ Member,Head of People,Technical Recruiter
Director of Learning and Development,,Sr Program Manager L&D (Board.org acquired by FiscalNote),People Partner
Board Advisor,Project Executive,Project Manager,Monitoring and Development Specialist
Vice President Human Resources,,Non-Commercial HR Leader,Vice President Global Talent Management
Vice President People & Culture,,Director People & Culture,Senior Director People & Culture
Director People & Culture,,Talent Manager,Lead Talent Partner
Senior Vice President Director of Human Resources,,Vice President Human Resource Director,Branch Operations Analyst
Director of Talent Acquisition & DEI,,Director of Talent Acquisition,Recruiting Manager - San Francisco
People Department Director Central & Support Functions,,Talent Acquisition Manager,People Department Director- Talent Acquisition Compensation & Benefits
Chief People Officer,,Vice President of People ,Vice President People (Global Head of HR)
Executive Director Talent Strategy,,Director ,Director / Manager BASES US Client Consulting Parsippany NJ
Senior Vice President People,Founding Member at the Hacking HR s Experts Council,Vice President People,Director of Human Resources
Professor - Diversity Inclusion Belonging & Equity,Director,Manager Talent Acquisition,Senior Manager Talent Acquisition (Diversity Inclusion Belonging & Equity Strategy)
Sr. Director People Operations,Member,Sr. Director People Operations,Vice President Head of People for Americas&Europe HRBP for eCommerce and Marketing
Director Talent Acquisition,,Director Talent Acquisition,Senior Director Talent Acquisition 
Head of Talent Acquisition a.i.,Founding Partner,Strategic Talent (CEO) Advisor a.i.,Head of Talent Acquisition a.i.
VP People,Primary Expert Network (PEN),Recruiting Manager,Senior Manager Talent Acquisition
Senior HR Location (People) Partner - Canada,Strategic Sourcing & Talent Acquisition Specialist ,Director of Talent Management,Talent Acquisition Specialist
Talent,,Contract Talent Acquisition ,Senior Talent Acquisition 
Chief Executive Officer,,Director of Recruitment,Director of Talent Acquisition and Workforce Development
Ambassador,CEO & Founder,SR TECHNICAL TALENT ACQUISITION PARTNER (ENGINEERING),Sr Client Delivery Consultant
Group Talent Director ,Head of People & Talent ,Talent Director,Head of Talent Acquisition
Partner Technical Talent,Recruiting Engagement Director Engineering,Recruiting Lead,Recruiting Lead
VP of People & Talent,Mindbody Therapies Facilitator,Director of Employee Experience (HR) | short tenure due to Covid-layoffs,Director of Operations | Senior Human Resources Business Partner & Finance Manager
Co-Founder and Principal,Limited Partner,Director Human Capital,Vice President Human Capital
Vice President People & Talent,Advisor,Vice President People,Vice President People and Talent
Director of Talent,,Head of Talent Acquisition,Talent Acquisition Associate
President,President,Talent Acquisition Specialist,Talent Partner
Board Trustee,Head of People and Culture,HR Manager,Group Employee Engagement Specialist
Director of Talent Acquisition,,Manager Education Experience,Learning Advisor
Human Resources Consultant,Director Talent Management & Strategy,Talent Acquisition Consultant,Director of Executive Strategy and Talent Solutions
Head of People & Talent,,Human Resources Business Partner,HR Payroll Trainee | BPO
Director Talent Acquisition,Sr. Manager Talent Acquisition,Talent Acquisition Manager,Sr. Campus Recruiter
Recruiting Vice President ,,Recruiting Manager,Recruiting Director 
Director Talent Acquisition,,Senior Recruiter,Talent Partner
SR. HRBP,,Director of US People Operations,Director Talent Management
Managing Director - Software Sales Talent,Mind | Employer Branding,Managing Director - Technology Product and Design Specialists,Managing Director - Graduate Recruitment
Senior Director -- Talent Acquisition,,Director -- Talent Acquisition,Manager Recruitment
Partner Talent Acquisition- Corporate Recruiting,,Director Talent Acquisition,Manager Talent Acquisition
,,Talent Acquisition Lead,Sr. Recruiter / Division Director - Robert Half Marketing & Technology 
Director -  Talent Acquisition,,Director Talent Acquisition,Head -  Talent Acquisition
Head of People Strategy,,Member Chief,Head of People Operations (SVP/VP of HR)
Sr. Director Head of Talent Acquisition,,Director Talent Acquisition HR & Culture,Senior Director Talent Acquisition HR & Culture
Head of Talent and People,,Sr. Technical Recruiter/Head of Recruiting,Sr. Manager Technical Recruiting
VP of Talent Acquisition,,Founder & CEO,Senior Recruiter
VP of Talent and People,Senior Executive Talent and People Operations Consultant,Senior Executive Talent Acquisition,Senior Director of Talent Diversity Equity and Inclusion
VP Talent and People,Founder,Head of Talent,Talent Acquisition Consultant
Director of Recruitment ,,Director Talent ,Senior Manager Talent Acquisition
,,Risk Analyst,Find Your Future Forum
Market Risk Analyst,,Compliance Analyst,
Market Risk Associate,,Market Risk Analyst,Market Risk Summer Analyst
Director Of Business Development,Business Strategy Manager,,
CS Manager,HR Director,,
VP | Sr. Recruiter Business Development,Executive Secretary to the Associate Director,Purchasing Clerk,
Listing Specialist - Realtor Investment Consultant Business Development CA/HI Instructor Mentor,Staffing Manager,Corporate Employment Manager,Branch/Employment Manager
Board Trustee,Co-founder & Co-CEO,,
Human Resources Director,Office Manager,Employee Relations Administrator,
Lead Flight Attendant,Director of Talent Acquisition,Federal Contract Investigator,Customer Service Representative
Director of Training,Partner,MQTO,VP Business Development
CEO,Strategic Talent Advisor,,
Client Service Associate,,Senior Talent Acquisition Consultant,Site Engineer
,,,
CEO / Founder,,Sr.Recruitment Executive,
Consultant,,Recruitment Consultant,Account Director
Head Talent Acquisition Manager at Stratum Consulting ,Talent Acquisition Manager,Staffing Manager,
Senior Manager,Director,President,Managing Consultant (HCM Cloud)
Director of Talent and Culture,Board Member,Human Resources & Safety Manager,Director of People Operations
Caregiving Services Manager ,Head Of Operations,Homecare Manager,Regional Recruiter
Human Resources Director,Owner Consultant,HR Director,Senior HR Consultant
Director Compensation,Sr Manager Compensation,Compensation Consultant,Compensation Manager
Senior Director of Operations & Client Engagements,,Executive-level HR Pro and High Tech Recruiter,Director of People Engagement (and Recruiter/Recruiting Manager)
Director Of Business Administration,Office Manager/Executive Assistant/HR Manager,Global Lead Business Administration and HR ,Global Head of Operations and HR 
Educational Consultant,Senior Vice President,Ambassadorial Scholar Alumni,Senior Principal Consultant
Managing Director Human Resources,Senior Human Resources Consultant,Director of Recruiting & Operations,Executive/Personal Assistant to CEO.   Promoted to West Coast H.R. Manager
Director Action Learning Programs,Board Member,Partner and Managing Director Executive Education,Program Director Strategic Decision and Risk Management (SDRM) Certificate Programs
Co-Founder & CEO,Director of Employee Experience,Senior Manager Global Brand Strategy (Contract),Senior Manager Culture + Brand Communications (Contract)
Chief of staff / PMO Global Benefits & Employee Experience,,VP of Operations and PMO,Head Of Division - School of Medicine
Recruiting Manager,Director,Lead Technical Recruiter,Team Leader
Onboarding Manager,,Co-chair - DST Financial Fortitude Commitee,Chair - DST Financial Fortitude Commitee
Human Resources Business partner,Sr Director Human Resources,Head of Human Resources,Vice President Human Resources
Director of Human Resources,Chief Human Resources Officer,Human Resources Specialist,
Director Organization Development Leader Consumer Tech Products,Leadership Advisory Services Affiliate: Organization Leadership and Culture,Managing Director: Global Head of Service Lines,Executive Advisor
Growth,Head of Strategic Growth,Board of Directors,Talent Partner
Senior Human Resources Consultant,Human Resources Business Partner,Senior Director Human Resources,Head of HR
Director Talent Development,Senior Transition Coach,Corporate Learning & Development and Organizational Effectiveness,Senior Manager Learning and Organizational Development
,,,
,,Sr Director Total Rewards,Board Member
Director Human Resources,Co-Owner/Operator,Human Resources Coordinator,HR Services Manager
Senior Vice President Human Resources,Owner,Vice President Operations and Staffing,Secretary Board of Directors
Chief Administrative Officer (CAO),Sr. Vice President of Global Human Resources,Global HR,VP of Human Resources & Admin.
Senior Director Global Executive Recruiting and Executive Onboarding,Expert-in-Residence,Head of Executive Recruiting,Director Global Executive Recruiting
Director Advisory Services,Executive Coach,Head of Tech & Data,Senior Advisor Employee Practice
,,Head of People,Talent Consultant
Senior Director Global People Operations,Executive HR Consultant,Vice-President People & Culture,Director Human Resources
Director Of Recruiting,Talent Acquisition Advisor/Consultant ,Staffing Lead ,X Head of Staffing
CTI Coach in Training,,Co-CEO,Advisor
Senior Director Global Benefits Well-Being & Mobility,Advisor,Advisor,Benefits Consultant
Head of Talent Acquisition,Advisor,Advisor,Sr. Talent Acquisition Leader - AMER and LATAM 
Vice President Human Resources Global HR Services and Employee Relations,,Human Resources Director,Vice President Human Resources Global Employee & Labor Relations and HR Compliance
Director Leadership Development & Business Solutions,Director HR Business Partner,Senior Manager Leadership High Potential & Professional Skills Development ,Learning Program Manager: Master Level Executive Leadership & Organization Development
Head of People,Board Member,Senior Vice President The People Team (CHRO),People Lead (Acting)/ Senior Director Talent
Chief People Officer,Board Member,Vice President Human Resources,Senior Vice President Human Resources
Head of People,Talent Manager,Human Resources Manager,Talent Manager
Chief Member,,Vice President People ,Advisor Node.io
Talent Acquisition Specialist,Sales Development Representative,Markting Assistant,
Partner | Recruiting Lead Venture Fund,,Partner | Principal Recruiter,Vice President of People
Talent Advisor,Sr. Principal,Director Augmented Recruiting,Activator
Talent Acquisition Leader,Advisory Board Member,Global Head of Talent Acquisition,Senior Manager Talent Acquisition
Head of Recruiting Special Operations  ,Advisor,Head of Talent Acquisition,Advisor
Crypto Recruiter - Engineering Business Executive,Talent Acquisition Consultant,Recruiter,Head of Talent
Vice President Talent Acquisition/Portfolio Search,Chief People Officer,Executive Search,Director Talent Acquisition
Founder,HR/Talent Consultant,HR - Talent Acquisition Global Team focus Greater China,Global Executive Search
Founder and Executive Coach,Advisor,Head of People Operations (HR + Facilities),VP People
Director Talent Acquisition (Head of Talent),,Director Talent Acquisition (Head of Talent),Director Talent Acquisition (Head of Talent)
Manager- Talent Acquisition and Operations,Head of HR and Operations,Executive Assistant,
Managing Director Talent,Advisory Board Member,,
Head of People,,Head of People,Human Resources Consultant 
Head of HR,,Talent Acquisition Specialist,Senior Human Resources Analyst
Director Executive Search,Executive Recruiter,Executive Recruiter,Executive Recruiter
Chief People Officer,Board Member Second VP Governance Committee Chair,Vice President Global Human Resources,Head of HR Fitbit at Google
Senior Vice President/Practice Director of RHT and TCG ,Pro 3 Distributor,Software Quality Assurance Engineer,
Vice President of Marketing Linkedin Talent Solutions,Board Member,Senior Director Head of Marketing for LinkedIn Learning,Vice President of Marketing LinkedIn Learning and Glint
Director - Monetization Strategy,Strategic Marketing Adviser & Investor,Marketing Manager Monetization Strategy (Talent Solutions),Group Manager - Monetization Strategy (Talent Solutions)
Sr. Director Inclusion Talent & Learning,Director of Inclusion Talent & Learning,Manager Human Resources,Senior Manager Diversity & Inclusion
Startup CPO,Adjunct Professor,Vice President Human Resources,Vice President Human Resources
Director of Human Resources,HR Management Consultant,Director Human Resources,Human Resources Director
Director,Recruitment Consultant / Account Manager,Recruiting,Product Recruiter
Senior Director Global HR Operations,,Talent Director,Senior Manager Human Resources
Advisor to human-centered entrepreneurs and People/HR leaders in high growth start-ups ,Advisor,Senior Vice President People,Global Head of Human Resources
VP Head of Talent HR Learning & Development,CPOHQ Member,People Operations Manager,Head of Talent
Head of Talent,Board of Directors Member / Co-Founder,Head of Recruiting,Technical Recruiter
Founder Employer Brand & Marketing Consultant,,Director Global Campaigns,Director Employer Brand and Talent Marketing at ServiceNow
Vice President Human Resources,Chief San Francisco - Founding Member,HR Leader/Director,Director of Human Resources
Vice President of Human Resources Northern California Division,Professor,Director Human Resources,Senior HRM Vineyard and Operations
,,Sr. Director People,Head of People & Vice President People
Chief People Officer,Committee Member,VP Human Resources,Director Human Resources
Director of Talent Acquisition,Senior Account Manager,Recruiter,
Vice President Head of HR,Advisor,Vice President of Global Total Rewards and People Operations,Vice President of Global Total Rewards & HR Operations
Head of People,Global Vice President of People & Talent,VP of People,Vice President People & Talent
Chief People Officer C-Suite,SVP Regional Head of People Practices ,Global Talent Acquisition/Development Strategy Vice President,Vice President HRBP 
HR Executive Director AWS Sales,Co-Founder,Board Member and Chapter Co Founder HR Hot Seat San Francisco,Global VP Head of Customer Enrichment
Global Senior Director of Talent Acquisition & Management & DEIB,Talent Advisor & Executive Coach,Director of Talent Acquisition & Leadership Development,Sr. Manager Talent Acquisition
Senior Vice President Head of People,Talent Consultant,Vice President People,Talent
Vice President of People,Member,Vice President of People & Places / Chief People Officer,Senior Director People Success
Founding Partner,Co-Founder and Acting Head of People Operations,Strategy and Talent Advisor ,VP of HR
Founder/Managing Director,Head of Recruiting ,Senior Technical & Executive Recruiter ,Senior Recruitment Consultant
Talent Acquisition Manager Sales North America,Advisor - Senior Media Strategist,Client Principal - Executive Search - Tech Sales and Marketing,Head of Sales - North America
Chief People Officer,CNBC Workforce Executive Council ,Senior Vice President of People,Sr. Director Human Resources Media Solutions Center America
,,Principal | Author,HR Manager (Contract through Premier Staffing)
Director Of Recruiting,Advisor,Lead Sales Recruiter,Recruiter
Head of Talent,,Head of Talent,Recruiter
VP of People,Member,International Head of People,VP of People and Culture
